miRNA	I.0.1	I.0.2	I.0.4	I.2.1	I.2.2	I.2.4	I.6.1	I.6.2	I.6.4	I.12.1	I.12.2	I.12.4	I.18.1	I.18.2	I.18.4	I.24.1	I.24.2	I.24.4
mmu-miR-491-3p	2.260136898	2.34935709	2.791419511	3.197039881	2.156335868	2.147968142	2.416211985	2.643793106	2.226610914	2.218849053	2.481959713	1.427981684	2.34261036	1.808147616	2.058448063	1.907384043	1.997884255	2.129685122
mmu-miR-700-5p	2.808758174	2.367920971	2.613505899	2.872471367	2.68030155	1.229794943	1.893791154	2.289592891	2.372986183	2.286722988	2.3629283	1.378722181	2.194075478	2.234092778	2.608625704	2.179824417	2.635266825	1.952268145
mmu-miR-700-3p	2.927693927	3.082618727	3.018569232	2.858017717	2.947755751	1.425574965	2.549020203	2.608050069	2.179722872	2.987938706	2.550182312	2.617124708	3.057620678	2.331024395	1.888567933	2.449810074	2.733584238	2.204851214
mmu-miR-701-5p	0.804029273	0.39190856	1.425660582	1.862007755	1.51677379	1.465165779	2.214666555	1.316576132	1.347347195	1.818265876	1.749381767	1.031963726	2.168046107	1.152308381	1.379697779	1.465097224	1.931383484	1.72258275
mmu-miR-702-5p	2.306874452	2.726454112	2.843331063	2.914556603	3.382893179	3.133441725	2.973905454	2.820199213	2.851776514	2.922305328	1.808183764	2.795718966	2.20068388	2.666390407	1.283302184	2.226424275	0.749246055	1.795212219
mmu-miR-500-5p	3.272355696	3.288833914	3.094573749	3.609623243	3.893432929	4.242792511	5.092994432	3.873694866	3.459911146	3.55844372	4.430033374	5.200214303	4.44182702	4.721354746	4.44782561	6.010321586	5.445603124	4.058280871
mmu-miR-500-3p	6.912426646	7.097009961	7.165568032	8.258866344	7.90897365	6.35403015	7.41671459	8.190544728	6.99344252	8.384895527	7.946168514	7.338830741	8.430776512	8.334121089	8.341157971	8.730907968	9.070284155	8.866244035
mmu-miR-501-5p	4.418241483	4.221780769	4.303891229	4.897792508	4.832901974	3.544440178	4.571532406	4.758967784	4.214046758	5.078493093	4.829166981	4.622492376	5.603816401	5.553658491	4.875836753	5.96566896	6.089292913	5.472005738
mmu-miR-501-3p	10.80805805	9.898777073	9.984998735	11.35955845	10.64489354	10.59347888	11.02354133	10.60388355	10.13383376	10.60292305	11.45268971	10.44490797	11.41138567	10.44619852	10.57103232	11.79382256	10.70387852	10.09879674
mmu-miR-450b-5p	6.726103408	6.797221692	6.247687905	6.692229933	6.559730899	6.486937817	7.039191075	6.662585895	6.564531452	6.911169507	6.585154941	6.933763198	6.998113497	6.974470958	7.10313529	7.233006028	7.261823243	7.025491396
