miRNA	Gene	Input
mmu-miR-7015-5p	Mpp7	-1
mmu-miR-7015-5p	Asb1	-1
mmu-miR-7015-5p	Crebrf	-1
mmu-miR-7015-5p	Rora	-1
mmu-miR-7015-5p	Mgrn1	-1
mmu-miR-7015-5p	Cgn	-1
mmu-miR-7015-5p	Zfp704	-1
mmu-miR-7015-5p	Adrb1	-1
mmu-miR-7015-5p	Rapgef2	-1
mmu-miR-7015-5p	Slc24a3	-1
mmu-miR-7015-5p	Zfp518a	-1
mmu-miR-7015-5p	Atp10a	-1
mmu-miR-7015-5p	Rhoq	-1
mmu-miR-7015-5p	Gskip	-1
mmu-miR-7015-5p	Phtf2	-1
mmu-miR-7015-5p	Cdc42bpa	-1
mmu-miR-298-3p	Ap4s1	-1
mmu-miR-298-3p	Dynlt1f	-1
mmu-miR-298-3p	Nkx2-1	-1
mmu-miR-298-3p	Ppp3r2	-1
mmu-miR-298-3p	Appl2	-1
mmu-miR-7220-3p	Cyld	-1
mmu-miR-7220-3p	Phf6	-1
mmu-miR-7220-3p	Ankrd27	-1
mmu-miR-7220-3p	Pcsk5	-1
mmu-miR-7220-3p	Map3k12	-1
mmu-miR-7220-3p	Pip4p2	-1
mmu-miR-7220-3p	Capza2	-1
mmu-miR-6925-5p	C5ar1	-1
mmu-miR-6925-5p	Snhg11	-1
mmu-miR-6925-5p	Zfp609	-1
mmu-miR-6925-5p	Klhl14	-1
mmu-miR-6925-5p	Slc39a9	-1
mmu-miR-6925-5p	Trim67	-1
mmu-miR-6925-5p	Sec22c	-1
mmu-miR-6925-5p	Trpm2	-1
mmu-miR-6925-5p	Runx2	-1
mmu-miR-6925-5p	Wdr37	-1
mmu-miR-6925-5p	Plxna4	-1
mmu-miR-6925-5p	Orc5	-1
mmu-miR-6925-5p	Slc35d1	-1
mmu-miR-6925-5p	Ppp1r1c	-1
mmu-miR-6925-5p	Cpt2	-1
mmu-miR-6925-5p	4931406B18Rik	-1
mmu-miR-6925-5p	Sbk3	-1
mmu-miR-6925-5p	Nme6	-1
mmu-miR-6925-5p	Lingo1	-1
mmu-miR-6925-5p	Mlph	-1
mmu-miR-6925-5p	Mylk4	-1
mmu-miR-6925-5p	Med11	-1
mmu-miR-6925-5p	Tlcd5	-1
mmu-miR-6925-5p	Gins3	-1
mmu-miR-6925-5p	Iqsec2	-1
mmu-miR-6925-5p	Ttc14	-1
mmu-miR-6925-5p	Tmem151a	-1
mmu-miR-6925-5p	Exoc6b	-1
mmu-miR-6925-5p	Atf6	-1
mmu-miR-6925-5p	Cntn4	-1
mmu-miR-467d-3p	Tgfbr3	-1
mmu-miR-467d-3p	Prpf4b	-1
mmu-miR-467d-3p	Cxcl5	-1
mmu-miR-467d-3p	Pdik1l	-1
mmu-miR-467d-3p	Tbc1d22b	-1
mmu-miR-467d-3p	Kmt2c	-1
mmu-miR-467d-3p	Emc7	-1
mmu-miR-467d-3p	Jph1	-1
mmu-miR-467d-3p	Pum2	-1
mmu-miR-467d-3p	Taok1	-1
mmu-miR-467d-3p	Spin1	-1
mmu-miR-467d-3p	Golph3	-1
mmu-miR-467d-3p	Gabra2	-1
mmu-miR-467d-3p	Osbpl8	-1
mmu-miR-467d-3p	Bmper	-1
mmu-miR-467d-3p	Cep135	-1
mmu-miR-467d-3p	Bmpr2	-1
mmu-miR-467d-3p	Rerg	-1
mmu-miR-467d-3p	Gucy1b1	-1
mmu-miR-467d-3p	Spag9	-1
mmu-miR-467d-3p	Slc8a1	-1
mmu-miR-467d-3p	Ptprr	-1
mmu-miR-467d-3p	Rab11b	-1
mmu-miR-467d-3p	Topbp1	-1
mmu-miR-467d-3p	Ino80d	-1
mmu-miR-467d-3p	Arap2	-1
mmu-miR-467d-3p	Vcan	-1
mmu-miR-467d-3p	Pik3c2a	-1
mmu-miR-467d-3p	Fgf4	-1
mmu-miR-467d-3p	Adamts1	-1
mmu-miR-467d-3p	Nrf1	-1
mmu-miR-467d-3p	Myadm	-1
mmu-miR-467d-3p	Hmgxb4	-1
mmu-miR-467d-3p	Ppat	-1
mmu-miR-467d-3p	Crebrf	-1
mmu-miR-467d-3p	Hectd2	-1
mmu-miR-467d-3p	Spock3	-1
mmu-miR-467d-3p	Dmrta2	-1
mmu-miR-467d-3p	Gm5592	-1
mmu-miR-467d-3p	Fgd4	-1
mmu-miR-467d-3p	Hivep1	-1
mmu-miR-467d-3p	Dync1li2	-1
mmu-miR-467d-3p	Psd3	-1
mmu-miR-467d-3p	Lrp1b	-1
