TF	TG	Input
lrp	gcvT	1
lrp	ssrS	1
lrp	fau	1
lrp	serA	1
lrp	serA	1
lrp	serA	1
lrp	serA	1
lrp	argO	1
lrp	metK	1
lrp	metK	1
lrp	ansB	1
lrp	ansB	1
lrp	patA	1
lrp	sstT	1
lrp	sstT	1
lrp	tdcA	1
lrp	tdcB	1
lrp	tdcC	1
lrp	tdcD	1
lrp	tdcE	1
lrp	tdcF	1
lrp	tdcG	1
lrp	tdcA	1
lrp	tdcB	1
lrp	tdcC	1
lrp	tdcD	1
lrp	tdcE	1
lrp	tdcF	1
lrp	tdcG	1
lrp	mtr	1
lrp	mtr	1
lrp	gltB	1
lrp	gltD	1
lrp	gltF	1
lrp	gltB	1
lrp	gltD	1
lrp	gltF	1
lrp	gltB	1
lrp	gltD	1
lrp	gltF	1
lrp	yhcN	1
lrp	yhcN	1
lrp	rrfF	1
lrp	thrV	1
lrp	rrfD	1
lrp	rrlD	1
lrp	alaU	1
lrp	ileU	1
lrp	rrsD	1
lrp	malT	1
lrp	yzgL	1
lrp	yzgL	1
lrp	yhhW	1
lrp	yhhW	1
lrp	livK	1
lrp	livH	1
lrp	livM	1
lrp	livG	1
lrp	livF	1
lrp	livK	1
lrp	livH	1
lrp	livM	1
lrp	livG	1
lrp	livF	1
lrp	livJ	1
lrp	livJ	1
lrp	dtpB	1
lrp	dtpB	1
lrp	hdeA	1
lrp	hdeB	1
lrp	yhiD	1
lrp	yhjE	1
lrp	yhjE	1
lrp	dppA	1
lrp	dppB	1
lrp	dppC	1
lrp	dppD	1
lrp	dppF	1
lrp	dppA	1
lrp	dppB	1
lrp	dppC	1
lrp	dppD	1
lrp	dppF	1
lrp	avtA	1
lrp	avtA	1
lrp	avtA	1
lrp	tdh	1
lrp	tdh	1
lrp	tdh	1
lrp	kbl	1
lrp	kbl	1
lrp	kbl	1
lrp	uhpC	1
lrp	uhpC	1
lrp	uhpB	1
lrp	uhpB	1
lrp	uhpA	1
lrp	uhpA	1
lrp	ilvN	1
lrp	ilvN	1
lrp	ilvB	1
lrp	ilvB	1
lrp	ivbL	1
lrp	ivbL	1
lrp	emrD	1
lrp	emrD	1
lrp	rrsC	1
lrp	gltU	1
lrp	rrlC	1
lrp	rrfC	1
lrp	ilvL	1
lrp	ilvX	1
lrp	ilvG_1	1
lrp	ilvG_2	1
lrp	ilvM	1
lrp	ilvE	1
lrp	ilvD	1
lrp	ilvA	1
lrp	ilvG_1	1
lrp	ilvG_1	1
lrp	ilvG_2	1
lrp	ilvG_2	1
lrp	ilvM	1
lrp	ilvM	1
lrp	ilvE	1
lrp	ilvE	1
lrp	ilvD	1
lrp	ilvD	1
lrp	ilvA	1
lrp	ilvA	1
lrp	rrsA	1
lrp	ileT	1
lrp	alaT	1
lrp	rrlA	1
lrp	rrfA	1
lrp	rrsB	1
lrp	gltT	1
lrp	rrlB	1
lrp	rrfB	1
lrp	rrsE	1
lrp	gltV	1
lrp	rrlE	1
lrp	rrfE	1
lrp	aceB	1
lrp	aceA	1
lrp	aceK	1
lrp	aceB	1
lrp	aceA	1
lrp	aceK	1
lrp	yjbJ	1
lrp	yjbJ	1
lrp	yjbQ	1
lrp	yjbQ	1
lrp	dcuB	1
lrp	fumB	1
