TF	TG	Input
E2f1	Tapbp	1
E2f1	Tgfb2	1
E2f1	Tk1	1
E2f1	Tlr3	1
E2f1	Tpt1	1
E2f1	Trp53	1
E2f1	Trp53	1
E2f1	Trp73	1
E2f1	Vegfa	1
E2f2	Cdkn2a	1
E2f2	Chek1	1
E2f2	Ece1	1
E2f2	Fgfr2	1
E2f2	Mcm5	1
E2f3	Cdkn2a	1
E2f3	Ddb2	1
E2f3	Fgf2	1
E2f3	Igf2	1
E2f3	Mycn	1
E2f3	Pmp2	1
E2f3	Tfe3	1
E2f4	Brca1	1
E2f4	E2f2	1
E2f4	Fgf2	1
E2f4	Map1lc3b	1
E2f4	Mybl2	1
E2f4	Mycn	1
E2f4	Plk4	1
E2f4	Rad51	1
E2f4	Rb1	1
E2f4	Stmn1	1
E2f5	Mir449a	1
E2f8	E2f1	1
E4f1	Ccna2	1
E4f1	Ids	1
Ebf1	Blk	1
Ebf1	Cd79a	1
Ebf1	Igll1	1
Ebf1	Omp	1
Ebf1	Omp	1
Ebf1	Pax5	1
Ebf1	Pparg	1
Ebf1	Tac4	1
Ebf1	Zfp423	1
Ebf1	Zfp521	1
Ebf1	Zfp521	1
Edn1	Ren1	1
Egr1	Ache	1
Egr1	Bax	1
Egr1	Birc5	1
Egr1	Bnip3	1
Egr1	Cacna1h	1
Egr1	Cat	1
Egr1	Ccl2	1
Egr1	Ccnd1	1
Egr1	Ccnd2	1
Egr1	Cdk5r1	1
Egr1	Cdkn1c	1
Egr1	Cdkn2d	1
Egr1	Chrna7	1
Egr1	Crebbp	1
Egr1	Cxcl2	1
Egr1	Eno1	1
Egr1	Epo	1
Egr1	F3	1
Egr1	Fas	1
Egr1	Fgf2	1
Egr1	Gadd45a	1
Egr1	Gadd45b	1
Egr1	Ggps1	1
Egr1	Gnrh1	1
Egr1	Hsd11b2	1
Egr1	Icam1	1
Egr1	Id3	1
Egr1	Ifngr1	1
Egr1	Igf1r	1
Egr1	Il1b	1
Egr1	Il2	1
Egr1	Il4	1
Egr1	Itga7	1
Egr1	Itgb6	1
Egr1	Jun	1
Egr1	Jund	1
Egr1	Lhb	1
Egr1	Lhb	1
Egr1	Ltb	1
Egr1	Map1lc3b	1
Egr1	Mapk14	1
Egr1	Mapk8	1
Egr1	Met	1
Egr1	Mmp14	1
Egr1	Mmp9	1
Egr1	Ndrg1	1
Egr1	Ngb	1
Egr1	Ngfr	1
Egr1	Ngfr	1
Egr1	Nr4a1	1
Egr1	Ntrk1	1
Egr1	Pdx1	1
Egr1	Pnmt	1
Egr1	Ppp1r1b	1
Egr1	Pten	1
Egr1	Pten	1
Egr1	Ptges	1
Egr1	Ptges	1
Egr1	Ptges2	1
Egr1	Ptprz1	1
Egr1	Rcan1	1
Egr1	Serpine1	1
Egr1	Smad7	1
Egr1	Socs1	1
Egr1	Stim1	1
Egr1	Syn2	1
Egr1	Tgfbr2	1
Egr1	Th	1
Egr1	Thbs1	1
Egr1	Tk1	1
Egr1	Tnf	1
Egr1	Tnf	1
Egr1	Trp53	1
Egr1	Trp73	1
Egr1	Wnt4	1
Egr1	Il12a	1
Egr2	Cbl	1
Egr2	Cebpb	1
Egr2	Fasl	1
Egr2	Hoxa2	1
Egr2	Hoxb1	1
Egr2	Hoxb2	1
Egr2	Id2	1
Egr2	Id2	1
Egr2	Id4	1
Egr2	Il2rb	1
Egr2	Mpz	1
Egr2	Nab1	1
Egr2	Nab2	1
Egr2	Ncmap	1
Egr2	Zbtb16	1
Egr2	Zbtb16	1
Egr3	Fasl	1
Egr3	Fasl	1
Egr3	Ifngr1	1
Egr3	Ngfr	1
Egr4	Nfkb1	1
Egr4	Slc12a5	1
Ehf	Tlr11	1
Ehmt1	Ccnd1	1
Ehmt2	Ccnd1	1
Ehmt2	Cdkn1a	1
Ehmt2	Fgf21	1
Ehmt2	Pou5f1	1
Ehmt2	Pparg	1
Ehmt2	Wnt10a	1
Eif2ak2	Stat1	1
Elf1	Cd1d1	1
Elf1	Csf1r	1
Elf1	Dntt	1
Elf1	Epha7	1
Elf1	Fcer1a	1
Elf1	Fcer1g	1
Elf1	Fli1	1
Elf1	Il3	1
Elf1	Lyl1	1
Elf1	Rhox5	1
Elf1	Tal1	1
Elf1	Tollip	1
Elf2	Cd3d	1
Elf3	Angpt1	1
Elf3	Tgfb1	1
Elf3	Tgfbr2	1
Elf3	Tgfbr2	1
Elf3	Tlr11	1
Elf4	Bglap	1
